履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,
前期,木,,○,,,,,情報通信システム,,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,
前期,木,,,○,,,,物理学Ⅰ演習,,岡田　悟志,野手　順一,勝木　厚成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,625,634,,,,,,,,
後期,木,,,○,,,,物理学Ⅱ演習,,岡田　悟志,野手　順一,勝木　厚成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,625,634,,,,,,,,
年間,木,,,○,○,,,情報工学実験Ⅱ,,高橋　聖,望月　寛,山口　健,櫻庭　秀次,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221(実験室),,,,,,,,,,
前期,木,,,○,,,,ソフトウェア工学,,松野　裕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
前期,木,,,,○,,,英語ⅠA,,金森　強,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,
前期,木,,,,○,,,英語ⅠA,,河口　伸子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
前期,木,,,,○,,,英語ⅠA,,髙橋　比路史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,
後期,木,,,,○,,,英語ⅠB,,金森　強,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132（可能ならば1233）,,,,,,,,,,
後期,木,,,,○,,,英語ⅠB,,河口　伸子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
後期,木,,,,○,,,英語ⅠB,,髙橋　比路史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,
前期,金,○,,,,,,シミュレーション工学,,西脇　大輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
前期,金,,○,,,,,回路理論Ⅰ,１クラス用,山口　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
前期,金,,○,,,,,回路理論Ⅰ,２クラス用,澤邉　知子,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
後期,金,,○,,,,,回路理論Ⅱ,１クラス用,山口　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
後期,金,,○,,,,,回路理論Ⅱ,２クラス用,澤邉　知子,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
前期,金,,○,,,,,オブジェクト指向プログラミング,,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423,,,,,,,,,,
後期,金,,○,,,,,Javaプログラミング,,吉川　浩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201(PC演習室),1204(PC演習室),,,,,,,,,
前期,金,,○,,,,,情報理論,,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
後期,金,,○,,,,,通信システム基礎,,細野　裕行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
後期,金,,,○,,,,計算機工学Ⅰ,,西脇　大輔,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
後期,金,,,○,,,,信号理論,,細野　裕行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
前期,金,,,○,,,,応用統計,,松野　裕,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
後期,金,,,○,,,,オプトエレクトロニクス,,吉川　浩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
前期,金,,,○,○,,,プロジェクト実習,,香取　照臣,西脇　大輔,五味　悠一郎,澤邉　知子,滕　琳,笠島　正明,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,
後期,金,,,○,,,,データマイニング,,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,,,,
前期,金,,,,○,,,電気物理,,細野　裕行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,
後期,金,,,,○,,,情報セキュリティ基礎,,五味　悠一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202(PC演習室),1234,,,,,,,,,
後期,金,,,,○,,,応用情報工学総合演習,,細野　裕行,望月　寛,澤邉　知子,滕　琳,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,1443,,,,,,,,,
後期,金,,,,○,,,環境情報,,三枝　健二,西川　省吾,織田　利彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,,,,
後期,金,,,,,○,,物質の構造と状態,,大宅　淳一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
前期,金,,,,,,○,情報職業論,,山口　敏和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,,,,,,,,,,
前期,金,,,,,,○,代数概論Ⅰ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,,,,,,,,,,
後期,金,,,,,,○,代数概論Ⅱ,,大越　健斗　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,,,,,,,,,,
年間,土,,,,,,○,卒業研究,,香取　照臣,高橋　聖,西脇　大輔,保谷　哲也,細野　裕行,松野　裕,望月　寛,吉川　浩,五味　悠一郎,澤邉　知子,滕　琳,村上　知里,山口　健,関　弘翔,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,○,,,,,,微分方程式Ⅰ,,多田　秀樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,
後期,月,○,,,,,,微分方程式Ⅱ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,
前期,月,○,,,,,,English Communication Ⅰ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
前期,月,○,,,,,,English Communication Ⅰ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
後期,月,○,,,,,,English Communication Ⅱ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
後期,月,○,,,,,,English Communication Ⅱ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,冨樫　壮央,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,小中　秀彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,鈴木　孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,髙坂　映子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,鷲尾　郁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
後期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
後期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
後期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
後期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,鷲尾　郁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：サッカー,原仲　碧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：バレーボール,小沼　直子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：トレーニング,重城　哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：卓球,鈴木　功士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：ソフトボール,進藤　大典,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：テニス,髙橋　亮輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：バスケットボール,服部　英恵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：バドミントン,安住　文子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
前期,月,,○,,,,,スポーツⅠ,競技：ニュースポーツ,沖　和磨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
